year,latitudeLeft,latitudeRight,longitudeLeft,longitudeRight,sstMin,sstMax,sstMean,sstMedian
1851,0,10,-100,-90,19.4,26.7,23.48965517,23.3
1851,0,10,-90,-80,21.7,27.8,25.15714286,24.4
1851,0,10,-80,-70,25,28.9,27.21111111,28.3
1851,0,10,-70,-60,,,,
1851,0,10,-60,-50,26.1,28.3,27.03333333,26.7
1851,10,20,-100,-90,24.4,28.3,27.26470588,27.8
1851,10,20,-90,-80,27.2,29.4,28.055,27.8
1851,10,20,-80,-70,26.1,27.8,27.02,26.7
1851,10,20,-70,-60,25,27.8,26.22727273,26.1
1851,10,20,-60,-50,23.3,29.7,26.24744526,26.7
1851,20,30,-100,-90,21.7,25,23.81818182,24.4
1851,20,30,-90,-80,16.7,29.4,25.72418301,26.7
1851,20,30,-80,-70,16.7,28.3,24.65785124,25
1851,20,30,-70,-60,18.9,29.4,24.99144144,25
1851,20,30,-60,-50,19.4,30,26.02727273,26.7
1851,30,40,-100,-90,,,,
1851,30,40,-90,-80,,,,
1851,30,40,-80,-70,5.6,29.4,19.7426945,20.6
1851,30,40,-70,-60,5,29.4,21.11276224,21.1
1851,30,40,-60,-50,10,29.4,21.39294118,21.1
1851,40,50,-100,-90,,,,
1851,40,50,-90,-80,,,,
1851,40,50,-80,-70,3.3,21.7,12.87111111,13.3
1851,40,50,-70,-60,-2.2,26.7,13.11167608,13.9
1851,40,50,-60,-50,-0.6,25.6,12.97956989,13.9
